"ID de la respuesta","Fecha en que se envió","Ultima pagina","Idioma de Inicio","Semilla","Fecha en que inició","Fecha de la ultima accion","Dirección IP","¿ Como se llama la economía(s) alternativas a las que perteneces ?","¿ Que tanto conocimiento tienes de las teorías económicas ?","¿ La comunidad de tu economia altermativa hace ferias o reuniones ?","Que tantas personas asisten a este tipo de eventos","¿ Tu economía genera mercados o mercadillos locales con el fin de generar comercio de los productos ?","¿ con que frecuencia asistes a evento de la comunidad que giren en torno a la economía alternativa? ","Que tanta gente tímida o introvertida asiste con regularidad a los eventos","¿ La comunidad es auto regulada o posee una jerarquía ?","En que tipo de espacios se han realizado los eventos [Al aire libre]","En que tipo de espacios se han realizado los eventos [En espacio publico]","En que tipo de espacios se han realizado los eventos [En una Casa]","En que tipo de espacios se han realizado los eventos [En cafeterías]","En que tipo de espacios se han realizado los eventos [En granjas]","En que tipo de espacios se han realizado los eventos [En fincas]","Que tipo de actividades se realizan en los eventos [Aprendizaje sobre economia]","Que tipo de actividades se realizan en los eventos [Aprendizaje sobre temas diferentes a economia]","Que tipo de actividades se realizan en los eventos [Charlas]","Que tipo de actividades se realizan en los eventos [Danza]","Que tipo de actividades se realizan en los eventos [Teatro]","Que tipo de actividades se realizan en los eventos [Películas]","Que tipo de actividades se realizan en los eventos [Conocer gente nueva]","Que tipo de actividades se realizan en los eventos [Hablar con amigos]","Que tipo de actividades se realizan en los eventos [Musica]","Que tipo de actividades se realizan en los eventos [Arte]","¿ Tienen su propia moneda ?","¿ Es una criptomoneda ?","Si tiene su propia moneda ¿ Como se intercambia ? [Dinero Papel]","Si tiene su propia moneda ¿ Como se intercambia ? [Dinero Metalico]","Si tiene su propia moneda ¿ Como se intercambia ? [Dinero Digital (via App)]","Si tiene su propia moneda ¿ Como se intercambia ? [Criptomoneda (Via App)]","Si tiene su propia moneda ¿ Como se intercambia ? [Llevan las cuentas en un libro general administrado por un grupo de personas ya sea digital o fisico (Nodo)]","¿ Que productos y bienes intercambias mas seguido usando la red de la economía alternativa ?  Puedes compartir con nosotros el nombre del producto o servicio si gustas usando la caja de texto  [Comida]","¿ Que productos y bienes intercambias mas seguido usando la red de la economía alternativa ?  Puedes compartir con nosotros el nombre del producto o servicio si gustas usando la caja de texto  [Comida][Comentario]","¿ Que productos y bienes intercambias mas seguido usando la red de la economía alternativa ?  Puedes compartir con nosotros el nombre del producto o servicio si gustas usando la caja de texto  [Ropa]","¿ Que productos y bienes intercambias mas seguido usando la red de la economía alternativa ?  Puedes compartir con nosotros el nombre del producto o servicio si gustas usando la caja de texto  [Ropa][Comentario]","¿ Que productos y bienes intercambias mas seguido usando la red de la economía alternativa ?  Puedes compartir con nosotros el nombre del producto o servicio si gustas usando la caja de texto  [Servicios]","¿ Que productos y bienes intercambias mas seguido usando la red de la economía alternativa ?  Puedes compartir con nosotros el nombre del producto o servicio si gustas usando la caja de texto  [Servicios][Comentario]","¿ Que productos y bienes intercambias mas seguido usando la red de la economía alternativa ?  Puedes compartir con nosotros el nombre del producto o servicio si gustas usando la caja de texto  [Tecnología]","¿ Que productos y bienes intercambias mas seguido usando la red de la economía alternativa ?  Puedes compartir con nosotros el nombre del producto o servicio si gustas usando la caja de texto  [Tecnología][Comentario]","¿ Que productos y bienes intercambias mas seguido usando la red de la economía alternativa ?  Puedes compartir con nosotros el nombre del producto o servicio si gustas usando la caja de texto  [Herramientas]","¿ Que productos y bienes intercambias mas seguido usando la red de la economía alternativa ?  Puedes compartir con nosotros el nombre del producto o servicio si gustas usando la caja de texto  [Herramientas][Comentario]","¿ Que productos y bienes intercambias mas seguido usando la red de la economía alternativa ?  Puedes compartir con nosotros el nombre del producto o servicio si gustas usando la caja de texto  [Vehículos]","¿ Que productos y bienes intercambias mas seguido usando la red de la economía alternativa ?  Puedes compartir con nosotros el nombre del producto o servicio si gustas usando la caja de texto  [Vehículos][Comentario]","¿ Que productos y bienes intercambias mas seguido usando la red de la economía alternativa ?  Puedes compartir con nosotros el nombre del producto o servicio si gustas usando la caja de texto  [Medicina]","¿ Que productos y bienes intercambias mas seguido usando la red de la economía alternativa ?  Puedes compartir con nosotros el nombre del producto o servicio si gustas usando la caja de texto  [Medicina][Comentario]","¿ Que productos y bienes intercambias mas seguido usando la red de la economía alternativa ?  Puedes compartir con nosotros el nombre del producto o servicio si gustas usando la caja de texto  [Medicina Alternativa]","¿ Que productos y bienes intercambias mas seguido usando la red de la economía alternativa ?  Puedes compartir con nosotros el nombre del producto o servicio si gustas usando la caja de texto  [Medicina Alternativa][Comentario]","¿ Que productos y bienes intercambias mas seguido usando la red de la economía alternativa ?  Puedes compartir con nosotros el nombre del producto o servicio si gustas usando la caja de texto  [Ciencias Alternativas]","¿ Que productos y bienes intercambias mas seguido usando la red de la economía alternativa ?  Puedes compartir con nosotros el nombre del producto o servicio si gustas usando la caja de texto  [Ciencias Alternativas][Comentario]","Si tienen su propia moneda, ¿ esta tiene alguna equivalencia en el mercado para su cambio por moneda de curso legal ? (Pesos, Euros, Dolares)","Si tienen su propia moneda, ¿ esta tiene alguna equivalencia en el mercado para su cambio por moneda de curso legal ? (Pesos, Euros, Dolares) [Comentario]","Eje social  Conservador hace referencia a seguir constumbres de nuestros antepasados. Mientras el progresismo se basa en utilizar la ciencia y la filosofia para definir las normas sociales  Me concidero... ","Eje economico  Un mercado totalmente invervenido hace referencia a que los precios deben ser regulados por alguna entidad, mientras que Libre mercado significa que cualquiera pone el precio que concidere correcto.  Prefiero... ","Eje Politico  Autoritarismo se refiere una entidad central regula todo y Acracia se refiere a la inexistencia de cualquier forma de autoridad ","Tiempo total","Tiempo del grupo: Conociendo la moneda","tiempo de preguntas: G00Q01","tiempo de preguntas: G00Q02","tiempo de preguntas: G00Q10","tiempo de preguntas: G00Q08","tiempo de preguntas: G00Q03","tiempo de preguntas: G00Q04","tiempo de preguntas: G00Q06","tiempo de preguntas: G00Q05","tiempo de preguntas: G00Q07","tiempo de preguntas: G00Q09","Tiempo del grupo: Sobre como se integra la economía contigo","tiempo de preguntas: G02Q11","tiempo de preguntas: G02Q12","tiempo de preguntas: G01Q13","tiempo de preguntas: G02Q14","tiempo de preguntas: G02Q15","Tiempo del grupo: Espectro Político","tiempo de preguntas: G03Q16","tiempo de preguntas: G03Q17","tiempo de preguntas: G03Q18"
"5","","0","es-CO","1661321459","2022-10-09 22:57:59","2022-10-09 22:57:59","188.76.76.184","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"6","","0","es-CO","2050459067","2022-10-10 00:52:39","2022-10-10 00:52:39","187.189.213.112","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"7","2022-10-10 05:30:26","3","es-CO","336621481","2022-10-10 05:23:20","2022-10-10 05:30:26","79.149.161.159","Moneda libre G1","7","Sí","Entre 50 - 100","Sí","6","5","10","Generalmente","Pocas veces","Generalmente","Pocas veces","Pocas veces","Algunas veces","Generalmente","Generalmente","Generalmente","Algunas veces","Pocas veces","Pocas veces","Generalmente","Generalmente","Generalmente","Pocas veces","Sí","Sí","No","No","No","Sí","No","Sí","","No","","No","","No","","No","","No","","No","","Sí","","No","","No","","Algo Progresista","Libre mercado regulado","Acracia ligera","426.97","245.21","","","","","","","","","","","98.65","","","","","","83.11","","",""
"8","","0","es-CO","1864058176","2022-10-10 07:02:47","2022-10-10 07:02:47","88.29.174.26","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"9","2022-10-10 09:45:34","3","es-CO","425253031","2022-10-10 09:37:02","2022-10-10 09:45:34","46.222.53.124","Moneda libre G1","6","Sí","Mas de 200","Sí","8","8","8","Generalmente","Pocas veces","Generalmente","Pocas veces","Algunas veces","Algunas veces","Algunas veces","Algunas veces","Algunas veces","Algunas veces","Algunas veces","Algunas veces","Generalmente","Siempre","Algunas veces","Algunas veces","Sí","Sí","Sí","No","No","Sí","No","Sí","Verduras, alimentos procesados","Sí","Confección propia, segunda mano","Sí","Electricidad, alquiler de coches, cursos, terapias,...","No","","Sí","Del campo, remolque, coche,...","Sí","Alquiler de coche","Sí","Terapias alternativa, fitoterapia, nutrición saludable","Sí","Rellenado arriba","Sí","Autogestión energética","Sí, Fijada por el libre mercado","En pequeña comunidad hemos hecho equivalència para servicios/hora. De manera voluntaria, el valor es libre","En medio","Libre mercado total","Acracia ligera","512.84","170.54","","","","","","","","","","","299.15","","","","","","43.15","","",""
"10","","0","es-CO","1831798237","2022-10-10 10:08:53","2022-10-10 10:08:53","89.36.76.68","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"11","","0","es-CO","661031848","2022-10-10 10:58:55","2022-10-10 10:58:55","88.8.71.220","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"12","","0","es-CO","1040800945","2022-10-10 11:03:02","2022-10-10 11:03:10","78.30.33.152","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","8.91","8.91","","","","","","","","","","","","","","","","","","","",""
"13","","0","es-CO","840146730","2022-10-10 11:15:31","2022-10-10 11:15:31","46.6.165.71","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"14","2022-10-10 12:12:28","3","es-CO","1631508108","2022-10-10 12:06:55","2022-10-10 12:12:28","177.250.252.173","Moneda Libre G1","3","Sí","Entre 10 - 20","Sí","3","5","7","Generalmente","Algunas veces","Generalmente","Algunas veces","Algunas veces","Nunca","Generalmente","Generalmente","Generalmente","Algunas veces","Algunas veces","Generalmente","Generalmente","Generalmente","Generalmente","Siempre","Sí","Sí","No","No","No","Sí","Sí","No","","No","","Sí","","No","","Sí","","No","","No","","No","","Sí","","No","","En medio","En medio","Acracia ligera","333.91","201.44","","","","","","","","","","","75.18","","","","","","57.29","","",""
"15","","0","es-CO","1073564955","2022-10-10 12:13:39","2022-10-10 12:13:39","176.84.148.30","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"16","","0","es-CO","852266937","2022-10-10 13:22:20","2022-10-10 13:22:20","31.4.209.142","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"17","","0","es-CO","1347414871","2022-10-10 15:29:40","2022-10-10 15:30:03","87.125.143.58","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","22.77","22.77","","","","","","","","","","","","","","","","","","","",""
"18","2022-10-10 16:01:39","3","es-CO","1438954120","2022-10-10 15:53:13","2022-10-10 16:01:39","83.59.168.40","G1GRAN CANARIA ","7","Sí","Entre 20 - 50","Sí","8","8","","Generalmente","Algunas veces","","","","","Siempre","Algunas veces","Algunas veces","Algunas veces","","","Generalmente","Siempre","Generalmente","","Sí","","No","No","No","No","Sí","Sí","","No","","Sí","","No","","No","","No","","No","","No","","Sí","","No","","Algo Progresista","Libre mercado total","Acracia ligera","508.14","241.87","","","","","","","","","","","168.82","","","","","","97.45","","",""
